Date,Low,High,Close,Open
2016-12-30,46.47,48.92,46.69,48.29
2016-12-23,47.74,49.9,48.48,47.89
2016-12-16,47.44,49.95,47.63,49.16
2016-12-09,45.58,50.64,49.64,46.45
2016-12-02,45.42,47.14,46.1,46.64
2016-11-25,45.7,46.95,46.82,46.46
2016-11-18,42.98,46.49,46.26,43.01
2016-11-11,40.31,43.39,42.93,40.39
2016-11-04,39.24,40.85,39.74,40.31
2016-10-28,38.21,40.57,40.06,40.25
2016-10-21,38.37,40.93,39.9,38.66
2016-10-14,36.801,39.99,38.65,37.95
2016-10-07,36.33,38.78,37.73,36.46
2016-09-30,34.86,36.99,36.61,35.19
2016-09-23,33.9,36.11,35.55,35.66
2016-09-16,35.47,38.38,35.49,37.22
2016-09-09,36.36,39.52,38.49,36.45
2016-09-02,35.35,37.355,36.53,36.13
2016-08-26,35.86,36.99,36.23,36.33
2016-08-19,34.9,36.79,36.49,34.96
2016-08-12,33.74,35.5,34.92,34.22
2016-08-05,33.0,35.75,34.44,35.54
2016-07-29,35.5,36.739,35.5,36.35
2016-07-22,34.44,36.725,36.36,36.03
2016-07-15,30.22,36.19,35.89,30.23
2016-07-08,27.12,30.2766,30.04,29.09
2016-07-01,24.85,29.52,29.33,26.85
2016-06-24,27.04,30.49,27.05,29.75
2016-06-17,28.85,32.99,29.34,32.99
2016-06-10,30.38,33.58,33.14,30.77
2016-06-03,30.37,32.26,30.81,31.75
2016-05-27,31.37,32.9,31.65,32.03
2016-05-20,30.99,33.36,32.01,31.81
2016-05-13,31.08,34.04,31.51,33.03
2016-05-06,32.19,35.165,33.03,34.99
2016-04-29,34.1,38.4,34.69,38.16
2016-04-22,37.01,41.76,38.21,41.18
2016-04-15,38.67,41.66,40.91,38.79
2016-04-08,37.91,40.24,38.5,39.81
2016-04-01,39.27,42.0699,39.52,41.0
2016-03-24,40.19,43.78,40.5,43.32
2016-03-18,41.5903,43.53,43.44,42.31
2016-03-11,40.05,42.5,42.47,41.31
2016-03-04,40.5,42.24,41.63,40.77
2016-02-26,39.39,41.6,40.87,40.14
2016-02-19,37.53,40.07,39.76,38.13
2016-02-12,34.76,37.98,37.82,36.08
2016-02-05,35.755,39.94,36.75,39.0
2016-01-29,36.5982,40.87,38.99,40.02
2016-01-22,36.2,40.72,40.16,39.59
2016-01-15,38.37,42.74,38.76,40.56
2016-01-08,39.68,41.7,40.37,41.29
2015-12-31,41.83,44.04,42.35,43.62
2015-12-24,41.35,44.19,43.81,41.35
2015-12-18,40.7,43.95,41.09,42.26
2015-12-11,42.06,46.49,42.09,45.35
2015-12-04,40.98,44.99,44.97,41.75
2015-11-27,40.45,42.74,41.69,42.11
2015-11-20,41.01,43.46,42.2,42.41
2015-11-13,43.12,45.21,43.45,45.17
2015-11-06,45.03,47.09,45.34,46.2
2015-10-30,44.99,46.77,46.22,45.36
2015-10-23,43.62,46.42,45.67,43.83
2015-10-16,42.52,44.5,43.71,42.59
2015-10-09,37.76,42.49,42.42,38.9
2015-10-02,37.42,40.18,38.63,39.87
2015-09-25,39.915,44.005,40.24,43.72
2015-09-18,41.84,44.59,43.49,42.17
2015-09-11,40.6268,42.18,42.15,41.28
